HomeTeam;AwayTeam;date;home_max;draw_max;away_max
Mexico;South Korea;2026-06-19 03:00:00;2.11;3.35;3.98
Canada;Qatar;2026-06-19 00:00:00;1.298;5.85;12.5
Switzerland;Bosnia and Herzegovina;2026-06-18 21:00:00;1.581;4.25;6.5
Czechia;South Africa;2026-06-18 18:00:00;1.854;3.63;4.77
Uzbekistan;Colombia;2026-06-18 04:00:00;12.5;5.6;1.312
Ghana;Panama;2026-06-18 01:00:00;2.45;3.17;3.35
England;Croatia;2026-06-17 22:00:00;1.671;3.93;5.81
Portugal;DR Congo;2026-06-17 19:00:00;1.303;5.75;12.5
Austria;Jordan;2026-06-17 06:00:00;1.425;4.85;8.85
Argentina;Algeria;2026-06-17 03:00:00;1.555;4.15;7.25
Iraq;Norway;2026-06-17 00:00:00;13.5;6.75;1.25
France;Senegal;2026-06-16 21:00:00;1.507;4.55;7.3
Iran;New Zealand;2026-06-16 03:00:00;1.892;3.51;4.63
Saudi Arabia;Uruguay;2026-06-16 00:00:00;8;4.15;1.526
Belgium;Egypt;2026-06-15 21:00:00;1.52;4.35;7.45
Spain;Cape Verde;2026-06-15 18:00:00;1.107;11.5;21
Sweden;Tunisia;2026-06-15 04:00:00;1.943;3.41;4.67
Ivory Coast;Ecuador;2026-06-15 01:00:00;3.36;3.08;2.5
Netherlands;Japan;2026-06-14 22:00:00;2.02;3.6;4
Germany;Curacao;2026-06-14 19:00:00;1.057;20;41
Australia;Turkiye;2026-06-14 06:00:00;5.49;3.73;1.74
Haiti;Scotland;2026-06-14 03:00:00;5.65;4.3;1.628
Brazil;Morocco;2026-06-14 00:00:00;1.724;3.7;5.73
Qatar;Switzerland;2026-06-13 21:00:00;16.9;7.29;1.195
USA;Paraguay;2026-06-13 03:00:00;2.13;3.26;4.04
Canada;Bosnia and Herzegovina;2026-06-12 21:00:00;1.862;3.63;4.72
South Korea;Czechia;2026-06-12 04:00:00;2.61;3.16;3.11
Mexico;South Africa;2026-06-11 21:00:00;1.454;4.44;8.88
